Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
507	-0,0859375	507	0,0507812	507	0,980469
508	-0,0820312	508	0,0585937	508	0,996094
509	-0,0703125	509	0,0625	509	0,996094
510	-0,0703125	510	0,0546875	510	1,00391
511	-0,0703125	511	0,0546875	511	1
512	-0,0703125	512	0,0546875	512	1
513	-0,0703125	513	0,0585937	513	0,996094
514	-0,0664062	514	0,0546875	514	0,996094
515	-0,0742187	515	0,0585937	515	1
516	-0,0742187	516	0,0664062	516	1
517	-0,078125	517	0,0546875	517	1
518	-0,078125	518	0,0507812	518	1
519	-0,0820312	519	0,0625	519	1,00781
520	-0,0859375	520	0,0546875	520	1,00781
521	-0,0898437	521	0,0664062	521	1,00391
522	-0,078125	522	0,0664062	522	1,00781
523	-0,078125	523	0,0625	523	1,00391
524	-0,078125	524	0,0625	524	0,996094
525	-0,0859375	525	0,0625	525	1
526	-0,0742187	526	0,0664062	526	1,00391
527	-0,0703125	527	0,0664062	527	1
528	-0,0664062	528	0,0625	528	1
529	-0,078125	529	0,0664062	529	0,992187
530	-0,0742187	530	0,0664062	530	0,996094
531	-0,0820312	531	0,0546875	531	0,988281
532	-0,0820312	532	0,0546875	532	0,988281
533	-0,0820312	533	0,0664062	533	0,976562
534	-0,0820312	534	0,0625	534	0,972656
535	-0,0859375	535	0,0664062	535	0,976562
536	-0,0859375	536	0,0546875	536	0,96875
537	-0,0859375	537	0,046875	537	0,972656
538	-0,0976562	538	0,046875	538	0,972656
539	-0,09375	539	0,0585937	539	0,980469
540	-0,0859375	540	0,0546875	540	0,992187
541	-0,0820312	541	0,0546875	541	0,988281
542	-0,0742187	542	0,0585937	542	0,992187
543	-0,0742187	543	0,0546875	543	0,988281
544	-0,0703125	544	0,0546875	544	0,984375
545	-0,0664062	545	0,0546875	545	0,984375
546	-0,0742187	546	0,0664062	546	0,992187
547	-0,0703125	547	0,0664062	547	0,996094
548	-0,0664062	548	0,0585937	548	1,00391
549	-0,078125	549	0,0625	549	1
550	-0,0742187	550	0,0585937	550	1,00391
551	-0,078125	551	0,0585937	551	1
552	-0,078125	552	0,0664062	552	1
553	-0,0742187	553	0,0664062	553	1,00781
554	-0,0820312	554	0,0625	554	1
555	-0,0859375	555	0,0664062	555	0,996094
556	-0,078125	556	0,0585937	556	1
557	-0,0859375	557	0,0585937	557	0,996094
558	-0,0820312	558	0,0625	558	1
559	-0,078125	559	0,0585937	559	1
560	-0,0820312	560	0,0664062	560	0,992187
561	-0,0664062	561	0,0585937	561	1
562	-0,0703125	562	0,0625	562	0,988281
563	-0,0820312	563	0,0742187	563	0,988281
564	-0,0742187	564	0,0585937	564	0,984375
565	-0,078125	565	0,0664062	565	0,980469
566	-0,0820312	566	0,0546875	566	0,984375
567	-0,09375	567	0,0546875	567	0,980469
568	-0,0898437	568	0,0546875	568	0,972656
569	-0,0859375	569	0,0546875	569	0,980469
570	-0,0976562	570	0,0585937	570	0,96875
571	-0,0859375	571	0,0507812	571	0,980469
572	-0,0820312	572	0,046875	572	0,992187
573	-0,0820312	573	0,046875	573	0,992187
574	-0,0820312	574	0,0507812	574	0,988281
575	-0,0742187	575	0,0585937	575	0,996094
576	-0,0742187	576	0,0625	576	0,996094
577	-0,0703125	577	0,0664062	577	0,992187
578	-0,0585937	578	0,0625	578	0,996094
579	-0,0703125	579	0,0546875	579	0,996094
580	-0,0820312	580	0,0585937	580	0,988281
581	-0,078125	581	0,0625	581	1
582	-0,078125	582	0,0625	582	1
583	-0,0820312	583	0,0546875	583	0,996094
584	-0,0898437	584	0,0585937	584	1
585	-0,0859375	585	0,0585937	585	1,01172
586	-0,0859375	586	0,0546875	586	1,01172
587	-0,0859375	587	0,0546875	587	1,01172
588	-0,0859375	588	0,0585937	588	1,00391
589	-0,078125	589	0,0625	589	1,00781
590	-0,0742187	590	0,0625	590	1,00781
