Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
464	-0,160156	464	0,0195312	464	0,976562
465	-0,121094	465	0,0273437	465	0,949219
466	-0,0742187	466	0,0546875	466	0,933594
467	-0,015625	467	0,0703125	467	0,925781
468	-0,00390625	468	0,0859375	468	0,941406
469	-0,0078125	469	0,101562	469	0,960937
470	0,00390625	470	0,0976562	470	0,988281
471	-0,03125	471	0,0859375	471	1,01172
472	-0,0625	472	0,0820312	472	1,03125
473	-0,101562	473	0,0703125	473	1,02734
474	-0,128906	474	0,03125	474	1,02734
475	-0,140625	475	0,0117187	475	1,01563
476	-0,148437	476	0,0078125	476	0,984375
477	-0,132812	477	0,0273437	477	0,957031
478	-0,105469	478	0,046875	478	0,957031
479	-0,0625	479	0,0546875	479	0,953125
480	-0,03125	480	0,0742187	480	0,953125
481	-0,015625	481	0,09375	481	0,980469
482	-0,0273437	482	0,101562	482	0,996094
483	-0,046875	483	0,0898437	483	1,01172
484	-0,0585937	484	0,078125	484	1,02734
485	-0,105469	485	0,0664062	485	1,03125
486	-0,125	486	0,046875	486	1,02734
487	-0,132812	487	0,0234375	487	1,01563
488	-0,132812	488	0,0117187	488	1,01172
489	-0,125	489	0,0273437	489	0,996094
490	-0,0859375	490	0,0351562	490	0,976562
491	-0,046875	491	0,0585937	491	0,972656
492	-0,0351562	492	0,0898437	492	0,976562
493	-0,0234375	493	0,09375	493	0,984375
494	-0,0195312	494	0,09375	494	0,984375
495	-0,046875	495	0,09375	495	1,00391
496	-0,078125	496	0,09375	496	1,01563
497	-0,113281	497	0,0703125	497	1,02734
498	-0,136719	498	0,0429687	498	1,02734
499	-0,144531	499	0,0195312	499	1,02734
500	-0,152344	500	0,0117187	500	1,00781
501	-0,117187	501	0,0195312	501	0,992187
502	-0,09375	502	0,0390625	502	0,976562
503	-0,046875	503	0,0507812	503	0,957031
504	-0,015625	504	0,0820312	504	0,953125
505	-0,00390625	505	0,0976562	505	0,957031
506	-0,0078125	506	0,0976562	506	0,972656
507	-0,0273437	507	0,0976562	507	0,988281
508	-0,046875	508	0,0859375	508	1,00781
509	-0,09375	509	0,0742187	509	1,02734
510	-0,132812	510	0,0507812	510	1,02344
511	-0,132812	511	0,0507812	511	1,02344
512	-0,152344	512	0,0234375	512	1,01563
513	-0,152344	513	0,0078125	513	1,00781
514	-0,144531	514	0,015625	514	0,988281
515	-0,117187	515	0,03125	515	0,964844
516	-0,0625	516	0,0546875	516	0,953125
517	-0,03125	517	0,0664062	517	0,949219
518	-0,015625	518	0,09375	518	0,949219
519	-0,00390625	519	0,0976562	519	0,957031
520	-0,00390625	520	0,0976562	520	0,957031
521	-0,0195312	521	0,09375	521	0,972656
522	-0,0351562	522	0,0859375	522	1
523	-0,078125	523	0,078125	523	1,01172
524	-0,109375	524	0,0546875	524	1,02344
525	-0,109375	525	0,0546875	525	1,02344
526	-0,128906	526	0,0273437	526	1,02344
527	-0,148437	527	0,015625	527	1,01563
528	-0,128906	528	0,0195312	528	0,992187
529	-0,105469	529	0,03125	529	0,976562
530	-0,105469	530	0,03125	530	0,976562
